time (ms),IQ
0.00188,(6.215611850588248-2.7549563528645713j)
0.0019,(4.956162771739906-2.8138804032665674j)
0.00192,(6.1387342614866975-2.9372156663489135j)
0.00194,(5.684903985277126-2.814087506923358j)
0.00196,(5.475940411800636-2.718583427759901j)
0.00198,(5.291643667567688-3.221151682970943j)
0.002,(5.680801081244461-2.687108148438085j)
0.00202,(6.396018277220028-2.8498378278829657j)
0.00204,(6.189062055797701-2.554631753835253j)
0.00206,(6.410814581698091-1.9339788322055704j)
0.00208,(5.828082804300297-3.031150176247774j)
0.0021,(5.901620284944485-2.162021108585687j)
0.00212,(5.3395989332693246-1.9441027929606705j)
0.00214,(5.3395380278321705-2.178376534877475j)
0.00216,(5.817175257298209-2.3858658028917623j)
0.00218,(5.407297761246285-2.0620065675173165j)
0.0022,(5.580288601325375-2.289033749324515j)
0.00222,(5.880448468827004-2.1297684735385767j)
0.00224,(6.290138961883982-2.4604418779349864j)
0.00226,(5.86930663690493-2.8534383919678072j)
0.00228,(5.412586027254227-2.112082505454756j)
0.0023,(5.258757977299683-1.6301242705993528j)
0.00232,(5.905994984384325-2.6134715890486397j)
0.00234,(5.656331067060061-2.49247308636102j)
0.00236,(5.9047440601006995-2.4626668118408954j)
0.00238,(5.797967802562305-2.9896755322440245j)
0.0024,(5.842544148360877-2.782756855305324j)
0.00242,(6.266551475511022-2.39849269521245j)
0.00244,(6.217235732841366-2.531294948264435j)
0.00246,(5.988973996726153-2.494427717892448j)
0.00248,(5.5676283768530554-2.4911615160563474j)
0.0025,(5.682276373474051-2.5387376105743096j)
0.00252,(6.120441580076122-2.7552404148358427j)
0.00254,(6.299825298743365-2.355024941095479j)
0.00256,(5.441451507800626-2.390494262633313j)
0.00258,(6.375201260939836-2.793418592845593j)
0.0026,(5.606110235842661-2.361754679309844j)
0.00262,(6.0889549776490535-2.7078128977035356j)
0.00264,(6.799711641052549-2.28230366396632j)
0.00266,(5.336123268528609-2.5143899841463195j)
0.00268,(6.03442677077799-2.3686001988526275j)
0.0027,(5.761375345273729-2.4413265671107958j)
0.00272,(6.015106287055008-2.5187741155302183j)
0.00274,(5.659700999774435-2.3909780936522655j)
0.00276,(5.039537364027307-2.2192942280649057j)
0.00278,(5.614754034108096-2.4598338288633137j)
0.0028,(5.981693279850788-2.465245335121148j)
0.00282,(6.315763860736176-2.6179583120986205j)
0.00284,(6.001205154084507-3.1062283843077103j)
0.00286,(6.356944501856388-2.488750667767579j)
0.00288,(5.701546415117264-2.922109482095546j)
0.0029,(5.674430656750772-2.6886493786556254j)
0.00292,(5.980384526634154-2.7886724014568234j)
0.00294,(5.741023440457622-2.7391903951144645j)
0.00296,(6.2401936726034215-2.7183941692962565j)
0.00298,(5.397495943956041-2.338155656418645j)
0.003,(6.153591653939981-2.3890844249144143j)
0.00302,(6.2687012324317415-2.463014671485558j)
0.00304,(5.987721425680204-2.096849662890406j)
0.00306,(6.170266898766692-1.4805035125668629j)
0.00308,(5.649628199809945-2.330850881045481j)
0.0031,(5.588886956238977-2.1973125068720742j)
0.00312,(5.983425351985703-2.406554676640634j)
0.00314,(5.625283875226921-2.284020775063329j)
0.00316,(5.966195847585987-3.0414486880560103j)
0.00318,(5.966558199305162-3.4015346921132403j)
0.0032,(5.8435563394778836-3.2046731916796083j)
0.00322,(5.9601249404579795-2.708196253154605j)
0.00324,(6.0775902439337095-2.04437764942779j)
0.00326,(5.832683304419349-2.4148803641406977j)
0.00328,(5.707069625967794-2.6302198601774855j)
0.0033,(6.140245521718455-2.310186290047702j)
0.00332,(5.957117026595741-2.382293956825832j)
0.00334,(6.016383985728609-2.951717977044525j)
0.00336,(6.060218374126811-2.3437026776145014j)
0.00338,(5.915541941369019-2.22255674338609j)
0.0034,(5.751292861151499-1.799729056421806j)
0.00342,(5.660412407532397-2.526513523931974j)
0.00344,(5.836542257366742-1.9354103022294336j)
0.00346,(6.026609407728306-2.6349305397466063j)
0.00348,(6.042162397717417-1.7245124135294871j)
0.0035,(5.9139930282958915-2.6983303515694455j)
0.00352,(5.983422599301759-2.285780861082904j)
0.00354,(5.497812486535041-2.404455068530731j)
0.00356,(5.711220804298046-2.0034061956860043j)
0.00358,(6.0896603091175505-2.048395454670697j)
0.0036,(5.58820896194868-2.847482984249634j)
0.00362,(5.9131179424108335-2.61208016521655j)
0.00364,(5.883214041118596-1.7912232387933669j)
0.00366,(5.828069673089006-2.466969767821808j)
0.00368,(6.092289781674983-2.228689063833566j)
0.0037,(5.941754985086285-2.856782837521305j)
0.00372,(5.4668695500178845-2.5819657551619573j)
0.00374,(6.038077758236194-2.7362311252907037j)
0.00376,(5.696988977513935-2.191335799947335j)
0.00378,(5.411398554969112-2.2541321013961224j)
0.0038,(6.113443859660374-2.0921311740729434j)
0.00382,(5.470745250456066-2.861759596278543j)
0.00384,(5.747798710055-2.317110342866882j)
0.00386,(5.963859311992839-2.493272019898167j)
0.00388,(5.8415909302021936-3.3148957709994513j)
0.0039,(5.657930587170088-2.345601480535455j)
0.00392,(5.534784730967566-2.069330169421131j)
0.00394,(5.61266473285061-1.9764185510684031j)
0.00396,(5.506878792672057-2.5117827922905964j)
0.00398,(5.823862703870605-2.2234822438070214j)
0.004,(5.6842363072627355-2.3182087342459403j)
0.00402,(5.406439551104981-2.7533783453197778j)
0.00404,(5.7696193590697575-2.798887901054675j)
0.00406,(5.651619166078422-2.5159579387769044j)
0.00408,(5.955394187545478-2.578586547756948j)
0.0041,(5.9867299390806235-2.470595784641929j)
0.00412,(6.313347602028065-2.6392448961818724j)
0.00414,(6.081952505336459-2.4291784067223015j)
0.00416,(5.503275475092278-2.855464280587308j)
0.00418,(5.141669699811361-1.9921565566093395j)
0.0042,(5.359776933768738-3.106636561132132j)
0.00422,(5.698514592404987-2.5270123126588233j)
0.00424,(5.330036369792117-2.5678636047881622j)
0.00426,(5.660652273251249-2.5451518857708666j)
0.00428,(5.8767781828847525-2.7813198981330025j)
0.0043,(5.67829954708423-3.0036868662250775j)
0.00432,(5.958941157461312-2.4198831844878956j)
0.00434,(5.663190977241118-2.568296035341368j)
0.00436,(5.612039771863682-2.3718365932569596j)
0.00438,(6.4353613009853-3.0499915526252326j)
0.0044,(5.855014211833218-1.9278078752896532j)
0.00442,(5.903364423039272-2.5266173236193237j)
0.00444,(6.147439756293147-3.51388812895998j)
0.00446,(6.158375591996493-2.437073671386927j)
0.00448,(5.74400069239108-2.6573066732167274j)
0.0045,(6.21467878818918-2.8777387659539255j)
0.00452,(5.716401712701652-2.089325076740275j)
0.00454,(6.204773724138285-2.1900951301362803j)
0.00456,(5.454754604057963-2.3860771056470353j)
0.00458,(5.763778802656777-2.4743286829357003j)
0.0046,(5.940225101546141-2.3317158358419348j)
0.00462,(5.986289745179041-3.025973262185354j)
0.00464,(5.584823570264351-2.4361052863127215j)
0.00466,(5.316438691091454-2.0874691842021074j)
0.00468,(6.019461341633878-2.1533121199671124j)
0.0047,(5.797125777180065-2.850196783245848j)
0.00472,(5.735775423001959-2.4381465723351226j)
0.00474,(6.417492852212249-2.874264429958274j)
0.00476,(5.76835500326462-2.447649330160221j)
0.00478,(5.6937157549196735-2.750730764588251j)
0.0048,(5.265981681297227-2.790002669390188j)
0.00482,(5.50509172719724-2.3806291769962176j)
0.00484,(6.15796506210649-2.7419180597515296j)
0.00486,(5.624217094714145-2.7648947371793686j)
0.00488,(6.075528486557471-2.382787685508493j)
0.0049,(5.4351913278542066-2.9938324973359363j)
0.00492,(5.576293170962465-2.607337134421548j)
0.00494,(5.567788139389114-3.012346224359542j)
0.00496,(6.024946606994768-2.951673954679399j)
0.00498,(5.795389059528667-2.1097647616196054j)
0.005,(5.495813790076587-2.6387840151631607j)
0.00502,(6.104186414211556-2.739080114266684j)
0.00504,(6.030791577955233-2.216352082506483j)
0.00506,(5.979502547450373-1.9613356075521053j)
0.00508,(5.964439873891007-2.416123041695927j)
0.0051,(5.581370291282183-2.1597598709517483j)
0.00512,(6.285551973894028-2.6838744854974435j)
0.00514,(5.832345935272151-2.4818729130969617j)
0.00516,(5.9553615204812616-2.4975576350377167j)
0.00518,(5.9936649743121935-2.392050959693288j)
0.0052,(5.5510586573879745-2.1784550654171815j)
0.00522,(6.49815586131718-2.9898422730856877j)
0.00524,(5.857003469923541-2.79670766172666j)
0.00526,(5.877157562310187-2.6617591252828676j)
0.00528,(5.728519379614649-2.8233861727051024j)
0.0053,(6.249349605945874-2.423398771978775j)
0.00532,(6.26341572959215-2.427548364105297j)
0.00534,(5.918789913369968-2.480464053571634j)
0.00536,(5.377416659829847-2.6342308269328925j)
0.00538,(5.8112044837633965-2.0507444731218207j)
0.0054,(5.844361950239692-2.4277937458403294j)
0.00542,(5.715476972983246-2.550070608939187j)
0.00544,(5.538248574819926-2.47781888124723j)
0.00546,(5.347945954559408-2.2518894200249964j)
0.00548,(6.356406316229015-2.4286880108840503j)
0.0055,(6.113224351957931-2.78806517202874j)
0.00552,(5.877509045770987-1.9123863588153829j)
0.00554,(5.649434405559256-2.346010440667609j)
0.00556,(5.986062143175667-2.88400449295347j)
0.00558,(5.934068915978204-3.1052921730261787j)
0.0056,(5.732308508645836-2.2703959499728272j)
0.00562,(5.995921318393065-2.069143601385581j)
0.00564,(6.036820325102875-2.3493346127448005j)
0.00566,(6.095144150516395-2.29577220042232j)
0.00568,(5.569979942460558-2.2873772623229254j)
0.0057,(6.009778369532169-2.4984144790618337j)
0.00572,(6.25854864462256-3.060492980243204j)
0.00574,(5.964814915741826-2.7329599511965212j)
0.00576,(6.6020953436305705-2.235143740924862j)
0.00578,(5.80589409443899-2.304649782872685j)
0.0058,(5.293451271354728-2.5652106500584626j)
0.00582,(5.583060439748596-2.6827160463107385j)
0.00584,(5.64292450732829-2.442046262560748j)
0.00586,(6.052218713247051-2.614376689963888j)
0.00588,(6.143302593078787-2.526508799781618j)
0.0059,(5.911393445403129-2.4559216900082363j)
0.00592,(5.9635571734142525-2.75906914165819j)
0.00594,(6.504383871045599-2.2333151759026086j)
0.00596,(5.588995928763904-2.5548993846055574j)
0.00598,(5.841734161870702-2.3374730378319786j)
0.006,(5.715218222930827-2.478840801070509j)
0.00602,(5.474735479331702-1.985911051192997j)
0.00604,(5.191051114639616-2.3190302998544876j)
0.00606,(6.2981964787719695-2.3641349600355523j)
0.00608,(5.611292270361125-2.376238944539675j)
0.0061,(5.782560900541247-1.8053401545569894j)
0.00612,(6.0095558744128486-2.5147107939924678j)
0.00614,(5.469360909215382-2.4453639919615187j)
0.00616,(5.58788731988612-2.465066272631015j)
0.00618,(5.858776938148781-3.1553297789699197j)
0.0062,(5.719931681575267-2.4689955113969306j)
0.00622,(5.440726704963161-2.1612419858462033j)
0.00624,(6.068420865072244-2.32840613973188j)
0.00626,(5.7112803147251405-1.9963110159399866j)
0.00628,(5.911608841189302-2.238146022792656j)
0.0063,(5.885002976141912-2.332653860731912j)
0.00632,(6.189229816506066-2.2037190599393055j)
0.00634,(5.9837149731601125-2.378413635371006j)
0.00636,(5.578492874501144-2.5935427193104785j)
0.00638,(6.253427416441069-2.5428422747581156j)
0.0064,(5.708265260769345-3.2943459345048156j)
0.00642,(5.594739466201231-1.9683115278936225j)
0.00644,(5.5453507593783415-2.5660926972563565j)
0.00646,(5.084857083265126-2.847818658123395j)
0.00648,(5.663199762334855-2.622106719021428j)
0.0065,(5.998244838748069-1.914282916160388j)
0.00652,(5.4120695027904056-2.4760515774246556j)
0.00654,(6.435559126704707-2.414346051173892j)
0.00656,(5.119133564116024-1.8046022874331036j)
0.00658,(5.604960639260443-2.2215226147061147j)
0.0066,(5.370178479082819-2.5960603197227288j)
0.00662,(6.172049788258678-3.0666113227731824j)
0.00664,(6.083523998831031-2.286994722378778j)
0.00666,(5.77734574652217-2.7260754541003402j)
0.00668,(5.392100139329737-2.2800279948877122j)
0.0067,(5.466537620768744-2.516070759248427j)
0.00672,(5.9493546184063835-2.363744033632123j)
0.00674,(5.640645614608939-2.201382957809148j)
0.00676,(5.678678103784217-3.0764191705736805j)
0.00678,(5.841440292542801-2.457092042749585j)
0.0068,(5.728499951886759-2.5060630078587884j)
0.00682,(5.282806131974733-2.4040248024126387j)
0.00684,(5.4223939693304715-2.3318694407278358j)
0.00686,(5.430466634534966-2.4493331095271107j)
0.00688,(5.623511948528371-2.7159507750104996j)
0.0069,(5.896056842621283-2.8764678382717483j)
0.00692,(5.8823278348655395-3.0292352150002904j)
0.00694,(6.261557367066182-2.460108755199107j)
0.00696,(5.397016633517044-2.3244287469857707j)
0.00698,(5.968163935405542-2.6140052361416153j)
0.007,(5.603823128730878-2.223086362992996j)
0.00702,(6.524531830226006-2.538158626922153j)
0.00704,(5.830724052470767-2.528543479465301j)
0.00706,(5.678824996652223-2.979409300329276j)
0.00708,(5.957459222315997-2.647788844967861j)
0.0071,(5.931713356407287-2.193107249309681j)
0.00712,(5.739377093718652-2.034150223336512j)
0.00714,(6.064003482212507-2.5634349901295206j)
0.00716,(6.369485721924166-2.210954972927383j)
0.00718,(6.172082633288243-2.028521789721259j)
0.0072,(5.816393359023093-2.8124598017868254j)
0.00722,(6.458246569540168-2.394182989911962j)
0.00724,(6.026727781313036-2.4365559663920844j)
0.00726,(5.50011850629293-2.141659925625711j)
0.00728,(5.884329043486052-2.7783728475855574j)
0.0073,(5.793774114824267-2.3947638550796526j)
0.00732,(5.685560696756842-2.5861037793910446j)
0.00734,(5.970815722709327-2.3583427291212833j)
0.00736,(5.239688426320943-2.0928699438602614j)
0.00738,(6.40039921495292-2.0075679085493077j)
0.0074,(6.070004604130857-2.0899404260167005j)
0.00742,(5.25222753159161-2.8300865372576633j)
0.00744,(6.066053431318904-2.6576459802216075j)
0.00746,(6.0137812472413135-2.164547732412058j)
0.00748,(6.354458350535189-2.2983911001826076j)
0.0075,(6.440705902398199-2.5875715107556423j)
0.00752,(6.496870004549572-2.805486436258895j)
0.00754,(5.773428925439112-3.802262536521468j)
0.00756,(6.046297297288215-3.031387984183402j)
0.00758,(5.705898259663769-2.601823075595623j)
0.0076,(6.19216842892544-2.5967604931355557j)
0.00762,(5.1455428276886765-2.3629742548914923j)
0.00764,(5.440891303762201-2.2994549196886593j)
0.00766,(5.721401266050553-1.7469914377752909j)
0.00768,(5.8459545999101135-2.7566062066140153j)
0.0077,(5.920517028856286-3.1503916387389j)
0.00772,(6.290809924971663-2.80963333735042j)
0.00774,(5.649333795580649-1.941088333398024j)
0.00776,(5.435308562497852-2.4957042587307683j)
0.00778,(5.736843576656513-2.1625416079403608j)
0.0078,(5.664006111208975-2.6876189552356453j)
0.00782,(6.050428803003781-2.6671393396590295j)
0.00784,(6.3743592672198295-3.071397475532142j)
0.00786,(6.344361189334662-2.6102493056733698j)
0.00788,(6.229172962614249-2.496377134121998j)
0.0079,(5.676174554474369-2.210821619992949j)
0.00792,(5.812111472933915-2.3129817695033403j)
0.00794,(6.007562409267671-1.8376350866702404j)
0.00796,(5.6091505782238364-2.551275177000946j)
0.00798,(5.640203045908326-2.4191622519480553j)
0.008,(5.990849607710658-2.5052000776445302j)
0.00802,(5.411214772496972-2.7316994453285037j)
0.00804,(6.230226952248259-2.3634455408007313j)
0.00806,(5.732184248424915-2.5919032535798188j)
0.00808,(6.046209961812991-1.9456038355058218j)
0.0081,(5.934963588958839-2.7631466806471727j)
0.00812,(6.284088654865617-2.6132724262904214j)
0.00814,(5.15663146365657-2.9145835304545105j)
0.00816,(6.286172523356238-2.387207997835063j)
0.00818,(6.278728181423647-2.9425066027378715j)
0.0082,(5.959767804486812-2.502703147874437j)
0.00822,(6.039794857539161-2.8896497008070785j)
0.00824,(6.064817666425631-2.827873327930682j)
0.00826,(5.565661593729937-2.7549763328465464j)
0.00828,(5.884072237666971-2.2568332154223216j)
0.0083,(6.162697623160581-2.5315206215282484j)
0.00832,(5.270152537644869-2.540918956205822j)
0.00834,(6.023035684188785-2.312522139022416j)
0.00836,(5.8950470287912395-2.720026086702677j)
0.00838,(6.075141994119755-3.1552480643160608j)
0.0084,(5.442053260889107-2.866307377708999j)
0.00842,(5.618140112729239-2.5953078598629777j)
0.00844,(5.40064626529052-2.516317341190119j)
0.00846,(5.397063960512119-2.3137505384049475j)
0.00848,(6.142993896482777-2.548413036806042j)
0.0085,(5.669731353930632-2.1610258090935357j)
0.00852,(5.645234767792468-2.3794909172703695j)
0.00854,(6.229564882414008-2.969373027887294j)
0.00856,(5.7515294999428015-3.349096722833975j)
0.00858,(6.187267319277955-2.83580396987143j)
0.0086,(5.51623194781794-2.4540540472695684j)
0.00862,(5.7506040821247515-2.376318066723335j)
0.00864,(5.564134097218821-2.535148151370801j)
0.00866,(6.048656103825125-2.459922386881476j)
0.00868,(5.797052684954743-2.0598151130788183j)
0.0087,(6.109732959069666-2.4953274225238173j)
0.00872,(5.916977637776309-2.3833770734638855j)
0.00874,(5.217369383690106-1.967832099890885j)
0.00876,(5.77800105535374-3.103778536032743j)
0.00878,(5.354216223707031-1.9301046111541291j)
0.0088,(5.981526691847222-3.3530439022938143j)
0.00882,(6.051086056263339-2.7753425791211725j)
0.00884,(6.085661448894153-2.686380035965473j)
0.00886,(5.825072685617928-3.0444272552521285j)
0.00888,(5.321990843508571-2.5549537615309355j)
0.0089,(5.935886096506972-2.5170590583064856j)
0.00892,(6.001740180732181-2.253321053085741j)
0.00894,(5.805177194168089-2.2640584476380132j)
0.00896,(5.89452097155067-2.4421487411978378j)
0.00898,(5.236716640899275-2.1271944279768134j)
0.009,(5.888102794606958-2.2850262743539043j)
0.00902,(5.829896586055206-2.608310233374414j)
0.00904,(5.461782397940616-2.4603080606957266j)
0.00906,(6.042115682717001-2.711903220469065j)
0.00908,(5.701269836063004-2.9084951051310663j)
0.0091,(5.942398271233501-2.3573619809695865j)
0.00912,(6.0287056870779745-2.99962896878949j)
0.00914,(5.975625713261377-2.562482834366516j)
0.00916,(5.419097463289784-3.2660035945328256j)
0.00918,(5.73799064990298-2.4763403210831036j)
0.0092,(6.575845744607276-2.742325810122924j)
0.00922,(6.331203676071572-2.3106003598549734j)
0.00924,(6.144198737290314-2.5741571598707096j)
0.00926,(5.957467082529287-2.5425283353736847j)
0.00928,(5.536673951370121-2.482603863471349j)
0.0093,(5.811930079171011-2.7038184557595177j)
0.00932,(5.725212288885056-2.6888516318924167j)
0.00934,(5.837794293608738-2.688706125952002j)
0.00936,(5.383864984268448-2.5417230062908502j)
0.00938,(6.184191491494969-2.6856509503098507j)
0.0094,(4.970532623476442-2.349846748327098j)
0.00942,(6.15172852636316-3.089915765393201j)
0.00944,(6.158101645626775-2.9997153808169807j)
0.00946,(6.641637972173282-1.8704729320286022j)
0.00948,(5.7827621785202-2.6447143843356207j)
0.0095,(5.692696142433144-2.838233251257776j)
0.00952,(5.906140818996642-2.508498615796585j)
0.00954,(6.052631591911205-2.2443006400177223j)
0.00956,(5.835948568155463-2.2863265317732773j)
0.00958,(5.471675409925544-2.7493996048991907j)
0.0096,(6.052202792145843-2.6708905116842954j)
0.00962,(5.865806329174919-2.611244959094915j)
0.00964,(5.529963906805671-2.39620654198755j)
0.00966,(5.324412249233345-2.484840460845485j)
0.00968,(6.688997583891136-2.8056704509930417j)
0.0097,(6.1433732367390315-2.6698391536820343j)
0.00972,(6.0524865628455204-2.5884337676807685j)
0.00974,(5.82769996282721-2.005985149384404j)
0.00976,(6.096021249672243-2.5591201886923445j)
0.00978,(5.515263816989845-1.397097088620483j)
0.0098,(5.932491353333444-2.5897389683357526j)
0.00982,(5.947023867639741-3.061048678055947j)
0.00984,(5.523513047371432-2.3829275405909547j)
0.00986,(5.831210345206357-2.1509337055379256j)
0.00988,(5.7284375409159916-2.341635739961287j)
0.0099,(5.611374838523337-2.4344390574042913j)
0.00992,(5.686408409842975-2.6265631339313527j)
0.00994,(5.297074190757959-2.5950152932935766j)
0.00996,(6.220294094074498-3.275814958643709j)
0.00998,(6.386799507378264-2.213649189862145j)
0.01,(5.557249853096938-2.6263845894304554j)
0.01002,(6.236022747839342-2.117873824276002j)
0.01004,(5.855354770802417-2.677536622439347j)
0.01006,(5.862625488134835-2.5178285342670175j)
0.01008,(5.434260694276912-2.0836031399411636j)
0.0101,(5.68011380585351-2.054699313121699j)
0.01012,(6.04362894104091-2.2195921957890716j)
0.01014,(5.540912051747743-3.1237134625403815j)
0.01016,(5.6187954057111735-2.9256792137640195j)
0.01018,(5.696654649243409-2.2662909772931j)
0.0102,(4.470457520470234-2.8828080899707555j)
0.01022,(4.24339977980532-3.4754160419499875j)
0.01024,(4.346297225129197-3.4308573389513586j)
0.01026,(4.255504556267726-3.4146087414325414j)
0.01028,(4.448252757548076-3.851912451153403j)
0.0103,(3.9859647069095474-3.159047734045655j)
0.01032,(4.737703771211781-3.674817137928624j)
0.01034,(3.8523782938657076-3.3033792288725334j)
0.01036,(4.05914975767986-3.5690588781996193j)
0.01038,(4.026233133602279-2.8597151121958904j)
0.0104,(4.196072611767188-3.0171658977570974j)
0.01042,(4.0541171429256675-2.7894653506291816j)
0.01044,(4.09966311932656-2.949068624450472j)
0.01046,(3.907817085217784-3.5447652700210783j)
0.01048,(3.987810425190635-3.6779817089702975j)
0.0105,(3.38921611007807-3.8784751719739723j)
0.01052,(4.401452578971388-3.411257546146103j)
0.01054,(3.7933136736059736-3.491884684831075j)
0.01056,(3.970422141030822-3.514338399375193j)
0.01058,(3.7807220867199787-3.776360269346597j)
0.0106,(4.3238685137149115-3.3796700418575862j)
0.01062,(3.9528512550444503-3.6272917676192895j)
0.01064,(3.3195654506145678-3.660843616969618j)
0.01066,(4.227558860904646-3.4453706863122555j)
0.01068,(3.884894383818902-3.5259567298538834j)
0.0107,(4.12618478752241-3.9753933484143738j)
0.01072,(4.411369623256695-3.7625707352068654j)
0.01074,(3.804790078868238-3.322463489087993j)
0.01076,(4.117014843248628-3.5159101800675523j)
0.01078,(3.876754051401561-4.147515209015634j)
0.0108,(4.462865672842438-3.2670662705122915j)
0.01082,(4.160293627320584-3.5164798491884484j)
0.01084,(4.126278263736873-3.8539115402822044j)
0.01086,(3.7203386226894297-3.7229738484196093j)
0.01088,(4.384039837872381-3.444925079250659j)
0.0109,(4.42633764278414-4.236208790873484j)
0.01092,(3.8785930929586465-3.3598261013808006j)
0.01094,(4.185268947362701-3.1710873583978367j)
0.01096,(4.32997454442658-3.2031434469675184j)
0.01098,(4.873298806750348-3.115251249455718j)
0.011,(4.264350977630077-3.7599790862119584j)
0.01102,(4.133837983683628-3.1553426062967147j)
0.01104,(4.082089647878815-3.409229323110382j)
0.01106,(4.101910146257285-3.778433966191089j)
0.01108,(4.389740687451134-3.3444007872115913j)
0.0111,(3.839962964045922-3.3545286310083564j)
0.01112,(4.444869398756193-2.9864964242371164j)
0.01114,(3.620225116731574-3.100942096748216j)
0.01116,(4.356086899296609-3.730192029736934j)
0.01118,(4.448909833959299-3.3864426704356383j)
0.0112,(4.402699765706782-3.390013591234193j)
0.01122,(4.224103622475091-3.416231687958655j)
0.01124,(4.265605231204562-3.601614321352844j)
0.01126,(4.0005740011955035-2.9151057681780106j)
0.01128,(3.758990049925292-3.7077047983627445j)
0.0113,(4.2172135115342355-2.9445379474129822j)
